source_root,file_path,file_type,geometry_type,crs,feature_count,likely_admin_level,key_name_fields,notes
data/raw/boundaries/satishvmadala_ap_open_data,data/raw/boundaries/satishvmadala_ap_open_data/AP_Districts_Final.json,json,unknown,unknown,unknown,unknown,,"Could not inspect file: '/Users/pruthviyannam/Documents/Groundwater Project/data/raw/boundaries/satishvmadala_ap_open_data/AP_Districts_Final.json' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'."
data/raw/boundaries/satishvmadala_ap_open_data,data/raw/boundaries/satishvmadala_ap_open_data/AndhraPradesh_Districts.geojson,geojson,Polygon,unknown,39,possible_district,NEW_DIST;district_id;district_name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/satishvmadala_ap_open_data,data/raw/boundaries/satishvmadala_ap_open_data/Constituencies_AndhraPradesh_2024.geojson,geojson,Polygon,unknown,193,possible_district,AC_NAME;ac_name;district_id;district_name;loksabha_constituency_name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/satishvmadala_ap_open_data,data/raw/boundaries/satishvmadala_ap_open_data/Final_Andhra_Constituencies_2024.json,json,unknown,unknown,unknown,unknown,,"Could not inspect file: '/Users/pruthviyannam/Documents/Groundwater Project/data/raw/boundaries/satishvmadala_ap_open_data/Final_Andhra_Constituencies_2024.json' not recognized as being in a supported file format.; It might help to specify the correct driver explicitly by prefixing the file path with '<DRIVER>:', e.g. 'CSV:path'."
data/raw/boundaries/satishvmadala_ap_open_data,data/raw/boundaries/satishvmadala_ap_open_data/TODO-GeoJSONS/MANDAL.geojson,geojson,Polygon,unknown,696,possible_mandal_or_subdistrict,DMNAME;DNAME,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIAN_PINCODE_BOUNDARY.geojson,geojson,MultiPolygon;Polygon,urn:ogc:def:crs:OGC:1.3:CRS84,19312,unknown,Office_Name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIAN_RAILWAYS.geojson,geojson,LineString,unknown,29947,possible_state_or_ap,,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIAN_SUB_DISTRICTS.geojson,geojson,MultiPolygon;Polygon,unknown,5966,possible_mandal_or_subdistrict,Dist_LGD;Subdt_LGD;dtcode11;dtname;sdtcode11;sdtname;stname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_DISTRICTS.geojson,geojson,MultiPolygon,urn:ogc:def:crs:OGC:1.3:CRS84,820,possible_district,dist_code;district,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_ENERGY_PLANTS.geojson,geojson,Point,unknown,534,possible_district,district;plant_name;proj_name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_NATIONAL_HIGHWAY.geojson,geojson,LineString;MultiLineString,unknown,62031,possible_state_or_ap,Name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_PARLIMENTARY_BOUNDARIES.json,json,MultiPolygon;Polygon,unknown,544,unknown,PC_NAME;ST_NAME,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_POLICE_STATIONS.geojson,geojson,Point,urn:ogc:def:crs:EPSG::4326,16459,possible_district,district;district_c,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/INDIA/INDIA_STATES.geojson,geojson,MultiPolygon;Polygon,EPSG:4326,37,possible_state_or_ap,STNAME;STNAME_SH,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/AHMADABAD.geojson,geojson,Polygon,unknown,46,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/BENGALURU.geojson,geojson,MultiPolygon;Polygon,unknown,197,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/BHOPAL.geojson,geojson,MultiPolygon;Polygon,unknown,85,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/CHENNAI.geojson,geojson,Polygon,unknown,200,unknown,Zone name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/DELHI.geojson,geojson,MultiPolygon;Polygon,unknown,273,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/HYDERABAD.geojson,geojson,Polygon,unknown,150,possible_mandal_or_subdistrict,Mandal;Name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/INDORE.geojson,geojson,MultiPolygon;Polygon,unknown,85,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/JAIPUR.geojson,geojson,Polygon,unknown,149,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/KANPUR.geojson,geojson,Polygon,unknown,110,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/LUCKNOW.geojson,geojson,Polygon,unknown,110,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/MUMBAI.geojson,geojson,Polygon,unknown,28,unknown,Name,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/NAGPUR.geojson,geojson,Polygon,unknown,42,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/NAVI MUMBAI.geojson,geojson,Polygon,unknown,111,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/PATNA.geojson,geojson,Polygon,unknown,628,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/PIMPRI CHINCHWAD.geojson,geojson,MultiPolygon;Polygon,unknown,32,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/PUNE.geojson,geojson,Polygon,unknown,42,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/SURAT.geojson,geojson,Polygon,unknown,30,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/THANE.geojson,geojson,Polygon,unknown,33,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/VADODARA.geojson,geojson,Polygon,unknown,18,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/METROPOLITAN CITIES/VISAKHAPATNAM.geojson,geojson,MultiPolygon;Polygon,unknown,91,possible_district,districtcode;districtname;statename;ulbname;wardname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR District Hq.geojson,geojson,Point,EPSG:4326,3,possible_district,DIST_HQ;DIST_HQNM;DTCODE11;DTNAME;Dist_LGD;LOC_NAME;STNAME,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR Sub District Hq.geojson,geojson,Point,EPSG:4326,9,possible_district,DTCODE11;LOC_NAME;NAME11;SDTCODE11;dtname;stname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR_DISTRICTS.geojson,geojson,MultiPolygon,EPSG:4326,3,possible_district,Dist_LGD;dtcode11;dtname;stname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR_STATE.geojson,geojson,MultiPolygon,EPSG:4326,1,possible_state_or_ap,STNAME;STNAME_SH,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR_SUBDISTRICTS.geojson,geojson,MultiPolygon;Polygon,EPSG:4326,9,possible_mandal_or_subdistrict,Dist_LGD;Subdt_LGD;dtcode11;dtname;sdtcode11;sdtname;stname,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR_VILLAGES.geojson,geojson,Polygon,unknown,845,possible_state_or_ap,b_pan_name;block_name;d_pan_name;dist_lgd;dtcode11;dtname;gp_name;sdtcode11;sdtname;search_village;stname;subdt_lgd;vilname11,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDAMAN & NICOBAR/ANDAMAN & NICOBAR_parliament.geojson,geojson,MultiPolygon,EPSG:4326,1,possible_state_or_ap,PC_NAME;ST_NAME,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDHRA PRADESH/ANDHRA PRADESH District Hq.geojson,geojson,Point,EPSG:4326,13,possible_district,DIST_HQ;DIST_HQNM;DTCODE11;DTNAME;Dist_LGD;LOC_NAME;STNAME,JSON/GeoJSON inspected without officiality assumption
data/raw/boundaries/datta07_indian_shapefiles,data/raw/boundaries/datta07_indian_shapefiles/STATES/ANDHRA PRADESH/ANDHRA PRADESH Sub District Hq.geojson,geojson,Point,EPSG:4326,669,possible_district,DTCODE11;LOC_NAME;NAME11;SDTCODE11;dtname;stname,JSON/GeoJSON inspected without officiality assumption
