station_id,station_name,district_name,mandal_name,village_name,latitude,longitude,reading_date,groundwater_level_mbgl,source_type,source_system,quality_flag,data_label,district_name_standardized,mandal_name_standardized,village_name_standardized,validation_notes
APM-GNT-001,Tenali Observation Well,Guntur,Tenali,Angalakuduru,16.2431,80.6408,2026-05-15,5.5,piezometer,APWRIMS-like mock,ok,mock,GUNTUR,TENALI,ANGALAKUDURU,schema checks passed
APM-GNT-003,Tenali Canal-side Piezometer,Guntur,Tenali,Kolakaluru,16.2470,80.6330,2026-05-22,5.7,piezometer,APWRIMS-like mock,ok,mock,GUNTUR,TENALI,KOLAKALURU,schema checks passed
APM-GNT-002,Mangalagiri Telemetry Point,Guntur,Mangalagiri,Nowluru,16.4306,80.5685,2026-05-18,9.4,telemetry,APWRIMS-like mock,ok,mock,GUNTUR,MANGALAGIRI,NOWLURU,schema checks passed
APM-GNT-004,Mangalagiri Ridge Well,Guntur,Mangalagiri,Chinakakani,16.4350,80.5640,2026-05-21,9.0,manual,APWRIMS-like mock,ok,mock,GUNTUR,MANGALAGIRI,CHINAKAKANI,schema checks passed
APM-KRI-001,Gudivada Manual Well,Krishna,Gudivada,Valivarthipadu,16.4389,80.9952,2026-05-16,5.9,manual,APWRIMS-like mock,ok,mock,KRISHNA,GUDIVADA,VALIVARTHIPADU,schema checks passed
APM-KRI-004,Gudivada Delta Piezometer,Krishna,Gudivada,Gudlavalleru Road,16.4430,80.9890,2026-05-23,5.2,piezometer,APWRIMS-like mock,ok,mock,KRISHNA,GUDIVADA,GUDLAVALLERU ROAD,schema checks passed
APM-KRI-002,Avanigadda Piezometer,Krishna,Avanigadda,Modumudi,16.0217,80.9189,2026-04-28,4.7,piezometer,APWRIMS-like mock,ok,mock,KRISHNA,AVANIGADDA,MODUMUDI,schema checks passed
APM-KRI-003,Avanigadda Coastal Well,Krishna,Avanigadda,Nachugunta,16.0260,80.9140,2026-05-19,5.1,manual,APWRIMS-like mock,ok,mock,KRISHNA,AVANIGADDA,NACHUGUNTA,schema checks passed
APM-ANT-001,Tadipatri Sensor Point,Anantapur,Tadipatri,Yellanur Road,14.9091,78.0092,2026-05-14,18.6,sensor,APWRIMS-like mock,ok,mock,ANANTAPUR,TADIPATRI,YELLANUR ROAD,schema checks passed
APM-ANT-002,Dharmavaram Observation Well,Anantapur,Dharmavaram,Gotlur,14.4149,77.7214,2026-05-11,21.3,manual,APWRIMS-like mock,ok,mock,ANANTAPUR,DHARMAVARAM,GOTLUR,schema checks passed
APM-CTR-001,Madanapalle Piezometer,Chittoor,Madanapalle,Basavanna Konda,13.5503,78.5029,2026-05-13,16.2,piezometer,APWRIMS-like mock,ok,mock,CHITTOOR,MADANAPALLE,BASAVANNA KONDA,schema checks passed
APM-CTR-002,Palamaner Manual Well,Chittoor,Palamaner,Kothapalli,13.2017,78.7476,2026-04-20,14.8,manual,APWRIMS-like mock,review,mock,CHITTOOR,PALAMANER,KOTHAPALLI,schema checks passed
APM-VSK-001,Anakapalle Telemetry Point,Visakhapatnam,Anakapalle,Sankaram,17.6868,83.0036,2026-05-17,6.5,telemetry,APWRIMS-like mock,ok,mock,VISAKHAPATNAM,ANAKAPALLE,SANKARAM,schema checks passed
APM-VSK-003,Anakapalle Valley Piezometer,Visakhapatnam,Anakapalle,Kasimkota,17.6920,82.9970,2026-05-20,5.3,piezometer,APWRIMS-like mock,ok,mock,VISAKHAPATNAM,ANAKAPALLE,KASIMKOTA,schema checks passed
APM-VSK-002,Bheemunipatnam Observation Well,Visakhapatnam,Bheemunipatnam,Tagarapuvalasa,17.9298,83.4301,2026-05-10,8.1,piezometer,APWRIMS-like mock,ok,mock,VISAKHAPATNAM,BHEEMUNIPATNAM,TAGARAPUVALASA,schema checks passed
APM-VSK-004,Bheemunipatnam Shore Well,Visakhapatnam,Bheemunipatnam,Mutyalammapalem,17.9350,83.4240,2026-05-18,7.6,manual,APWRIMS-like mock,ok,mock,VISAKHAPATNAM,BHEEMUNIPATNAM,MUTYALAMMAPALEM,schema checks passed
