station_id,station_name,district_name,mandal_name,village_name,latitude,longitude,reading_date,groundwater_level_mbgl,source_type,source_system,quality_flag,data_label,district_name_standardized,mandal_name_standardized,village_name_standardized,validation_notes,station_district_name,station_mandal_name,boundary_district_name,boundary_mandal_name,boundary_source,boundary_official_flag,boundary_join_notes
APM-GNT-001,Tenali Observation Well,GUNTUR,TENALI,Angalakuduru,16.2431,80.6408,2026-05-15,5.5,piezometer,APWRIMS-like mock,ok,mock,GUNTUR,TENALI,ANGALAKUDURU,schema checks passed,Guntur,Tenali,GUNTUR,TENALI,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-GNT-003,Tenali Canal-side Piezometer,GUNTUR,TENALI,Kolakaluru,16.247,80.633,2026-05-22,5.7,piezometer,APWRIMS-like mock,ok,mock,GUNTUR,TENALI,KOLAKALURU,schema checks passed,Guntur,Tenali,GUNTUR,TENALI,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-GNT-002,Mangalagiri Telemetry Point,GUNTUR,MANGALAGIRI,Nowluru,16.4306,80.5685,2026-05-18,9.4,telemetry,APWRIMS-like mock,ok,mock,GUNTUR,MANGALAGIRI,NOWLURU,schema checks passed,Guntur,Mangalagiri,GUNTUR,MANGALAGIRI,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-GNT-004,Mangalagiri Ridge Well,GUNTUR,MANGALAGIRI,Chinakakani,16.435,80.564,2026-05-21,9.0,manual,APWRIMS-like mock,ok,mock,GUNTUR,MANGALAGIRI,CHINAKAKANI,schema checks passed,Guntur,Mangalagiri,GUNTUR,MANGALAGIRI,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-KRI-001,Gudivada Manual Well,KRISHNA,GUDIVADA,Valivarthipadu,16.4389,80.9952,2026-05-16,5.9,manual,APWRIMS-like mock,ok,mock,KRISHNA,GUDIVADA,VALIVARTHIPADU,schema checks passed,Krishna,Gudivada,KRISHNA,GUDIVADA,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-KRI-004,Gudivada Delta Piezometer,KRISHNA,GUDIVADA,Gudlavalleru Road,16.443,80.989,2026-05-23,5.2,piezometer,APWRIMS-like mock,ok,mock,KRISHNA,GUDIVADA,GUDLAVALLERU ROAD,schema checks passed,Krishna,Gudivada,KRISHNA,GUDIVADA,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-KRI-002,Avanigadda Piezometer,KRISHNA,AVANIGADDA,Modumudi,16.0217,80.9189,2026-04-28,4.7,piezometer,APWRIMS-like mock,ok,mock,KRISHNA,AVANIGADDA,MODUMUDI,schema checks passed,Krishna,Avanigadda,KRISHNA,AVANIGADDA,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-KRI-003,Avanigadda Coastal Well,KRISHNA,AVANIGADDA,Nachugunta,16.026,80.914,2026-05-19,5.1,manual,APWRIMS-like mock,ok,mock,KRISHNA,AVANIGADDA,NACHUGUNTA,schema checks passed,Krishna,Avanigadda,KRISHNA,AVANIGADDA,public_prototype,False,station mandal agrees with prototype boundary mandal
APM-ANT-001,Tadipatri Sensor Point,ANANTAPUR,TADPATRI,Yellanur Road,14.9091,78.0092,2026-05-14,18.6,sensor,APWRIMS-like mock,ok,mock,ANANTAPUR,TADIPATRI,YELLANUR ROAD,schema checks passed,Anantapur,Tadipatri,ANANTAPUR,TADPATRI,public_prototype,False,station mandal differs from prototype boundary mandal
APM-ANT-002,Dharmavaram Observation Well,ANANTAPUR,DHARMAVARAM,Gotlur,14.4149,77.7214,2026-05-11,21.3,manual,APWRIMS-like mock,ok,mock,ANANTAPUR,DHARMAVARAM,GOTLUR,schema checks passed,Anantapur,Dharmavaram,ANANTAPUR,DHARMAVARAM,public_prototype,False,station mandal agrees with prototype boundary mandal
