station_id,station_name,district_name,mandal_name,latitude,longitude,annual_et_mm,annual_precip_mm,water_balance_mm,balance_year,source,data_label,notes
APM-GNT-001,Tenali Observation Well,Guntur,Tenali,16.2431,80.6408,920.6,1334.9,414.3,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-GNT-003,Tenali Canal-side Piezometer,Guntur,Tenali,16.2470,80.6330,920.6,1334.9,414.3,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-GNT-002,Mangalagiri Telemetry Point,Guntur,Mangalagiri,16.4306,80.5685,944.8,1223.8,279.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-GNT-004,Mangalagiri Ridge Well,Guntur,Mangalagiri,16.4350,80.5640,944.8,1223.8,279.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-KRI-001,Gudivada Manual Well,Krishna,Gudivada,16.4389,80.9952,986.2,1350.6,364.4,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-KRI-004,Gudivada Delta Piezometer,Krishna,Gudivada,16.4430,80.9890,986.2,1350.6,364.4,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-KRI-002,Avanigadda Piezometer,Krishna,Avanigadda,16.0217,80.9189,1039.2,1497.0,457.8,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-KRI-003,Avanigadda Coastal Well,Krishna,Avanigadda,16.0260,80.9140,1015.5,1491.5,476.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-ANT-001,Tadipatri Sensor Point,Anantapur,Tadipatri,14.9091,78.0092,712.9,758.4,45.5,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-ANT-002,Dharmavaram Observation Well,Anantapur,Dharmavaram,14.4149,77.7214,788.2,830.5,42.3,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-CTR-001,Madanapalle Piezometer,Chittoor,Madanapalle,13.5503,78.5029,674.4,662.8,-11.6,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-CTR-002,Palamaner Manual Well,Chittoor,Palamaner,13.2017,78.7476,782.9,780.3,-2.6,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-VSK-001,Anakapalle Telemetry Point,Visakhapatnam,Anakapalle,17.6868,83.0036,1063.9,1483.6,419.7,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-VSK-003,Anakapalle Valley Piezometer,Visakhapatnam,Anakapalle,17.6920,82.9970,1072.0,1512.0,440.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-VSK-002,Bheemunipatnam Observation Well,Visakhapatnam,Bheemunipatnam,17.9298,83.4301,1021.2,1466.2,445.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
APM-VSK-004,Bheemunipatnam Shore Well,Visakhapatnam,Bheemunipatnam,17.9350,83.4240,1021.2,1466.2,445.0,2025,TerraClimate (Climatology Lab),model-water-balance,annual actual ET vs precipitation (mm); recharge-vs-demand context; not groundwater depth
