station_id,station_name,district_name,mandal_name,latitude,longitude,rainfall_mm,rainfall_period,source_file,data_label,notes
APM-GNT-001,Tenali Observation Well,Guntur,Tenali,16.2431,80.6408,16.7,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-GNT-003,Tenali Canal-side Piezometer,Guntur,Tenali,16.2470,80.6330,16.7,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-GNT-002,Mangalagiri Telemetry Point,Guntur,Mangalagiri,16.4306,80.5685,21.4,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-GNT-004,Mangalagiri Ridge Well,Guntur,Mangalagiri,16.4350,80.5640,21.4,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-KRI-001,Gudivada Manual Well,Krishna,Gudivada,16.4389,80.9952,15.7,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-KRI-004,Gudivada Delta Piezometer,Krishna,Gudivada,16.4430,80.9890,15.7,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-KRI-002,Avanigadda Piezometer,Krishna,Avanigadda,16.0217,80.9189,12.3,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-KRI-003,Avanigadda Coastal Well,Krishna,Avanigadda,16.0260,80.9140,12.3,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-ANT-001,Tadipatri Sensor Point,Anantapur,Tadipatri,14.9091,78.0092,11.0,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-ANT-002,Dharmavaram Observation Well,Anantapur,Dharmavaram,14.4149,77.7214,15.8,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-CTR-001,Madanapalle Piezometer,Chittoor,Madanapalle,13.5503,78.5029,22.3,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-CTR-002,Palamaner Manual Well,Chittoor,Palamaner,13.2017,78.7476,17.4,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-VSK-001,Anakapalle Telemetry Point,Visakhapatnam,Anakapalle,17.6868,83.0036,22.6,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-VSK-003,Anakapalle Valley Piezometer,Visakhapatnam,Anakapalle,17.6920,82.9970,22.3,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-VSK-002,Bheemunipatnam Observation Well,Visakhapatnam,Bheemunipatnam,17.9298,83.4301,18.5,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
APM-VSK-004,Bheemunipatnam Shore Well,Visakhapatnam,Bheemunipatnam,17.9350,83.4240,18.5,2026.04,data/raw/chirps/current/chirps_monthly_latest.tif,satellite-gauge-rainfall,CHIRPS monthly rainfall mm; recharge context only; not groundwater depth
