station_id,station_name,district_name,mandal_name,latitude,longitude,groundwater_percentile,rootzone_percentile,surface_percentile,satellite_sample_date_or_fetch_date,gws_source_file,rtzsm_source_file,sfsm_source_file,data_label,notes
APM-GNT-001,Tenali Observation Well,Guntur,Tenali,16.2431,80.6408,98.9,86.46,72.3,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-GNT-003,Tenali Canal-side Piezometer,Guntur,Tenali,16.2470,80.6330,98.9,86.46,72.3,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-GNT-002,Mangalagiri Telemetry Point,Guntur,Mangalagiri,16.4306,80.5685,100.0,94.47,83.09,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-GNT-004,Mangalagiri Ridge Well,Guntur,Mangalagiri,16.4350,80.5640,100.0,94.47,83.09,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-KRI-001,Gudivada Manual Well,Krishna,Gudivada,16.4389,80.9952,100.0,94.73,85.61,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-KRI-004,Gudivada Delta Piezometer,Krishna,Gudivada,16.4430,80.9890,100.0,94.73,85.61,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-KRI-002,Avanigadda Piezometer,Krishna,Avanigadda,16.0217,80.9189,100.0,96.7,82.75,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-KRI-003,Avanigadda Coastal Well,Krishna,Avanigadda,16.0260,80.9140,100.0,96.7,82.75,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-ANT-001,Tadipatri Sensor Point,Anantapur,Tadipatri,14.9091,78.0092,100.0,98.09,95.82,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-ANT-002,Dharmavaram Observation Well,Anantapur,Dharmavaram,14.4149,77.7214,98.82,94.29,92.46,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-CTR-001,Madanapalle Piezometer,Chittoor,Madanapalle,13.5503,78.5029,91.59,75.45,84.92,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-CTR-002,Palamaner Manual Well,Chittoor,Palamaner,13.2017,78.7476,93.85,72.25,63.26,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-VSK-001,Anakapalle Telemetry Point,Visakhapatnam,Anakapalle,17.6868,83.0036,96.92,96.52,98.9,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
APM-VSK-003,Anakapalle Valley Piezometer,Visakhapatnam,Anakapalle,17.6920,82.9970,100.0,96.97,99.55,2026-06-12,data/raw/nasa/grace_da/current/gws_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/rtzsm_perc_025deg_GL.tif,data/raw/nasa/grace_da/current/sfsm_perc_025deg_GL.tif,satellite-model,sampled from NASA/NDMC GRACE-DA percentile rasters; values are not groundwater depth
