state,district,station,lat,lon,date,level_mbgl,agency
Andhra Pradesh,Krishna,Gopalapuram,16.97917,80.65833,2013-01-04,3.79,CGWB
Andhra Pradesh,Krishna,Gopalapuram,16.97917,80.65833,2013-05-14,10.34,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2013-01-04,1.16,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2013-05-14,1.74,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2014-01-04,1.1,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2014-05-14,1.84,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2014-08-24,2.01,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2014-11-04,1.7,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2015-01-04,2.09,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2015-05-14,3.45,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2015-08-24,1.75,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2015-11-04,2.54,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2016-08-24,3.45,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2016-11-04,0.2,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2017-01-04,3.45,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2018-08-19,2.69,CGWB
Andhra Pradesh,Krishna,Gudivada,16.43333,80.99167,2018-11-04,3.45,CGWB
Andhra Pradesh,Krishna,Bapulapadu-PZ 3,16.64583,80.9625,2014-08-24,12.8,CGWB
Andhra Pradesh,Krishna,Bapulapadu-PZ 3,16.64583,80.9625,2020-11-29,11.6,CGWB
Andhra Pradesh,Krishna,Bapulapadu-PZ 3,16.64583,80.9625,2021-01-09,14.16,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2013-11-04,2.42,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2014-01-04,3.36,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2014-05-14,7.36,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2014-08-24,5.36,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2014-11-04,4.74,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2015-01-04,5.76,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2015-05-14,8.16,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2015-08-24,4.89,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2015-11-04,6.04,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2016-01-04,7.28,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2016-05-14,10.26,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2016-08-24,6.91,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2016-11-04,4.86,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2017-01-04,6.14,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2017-05-14,9.34,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2017-08-24,4.73,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2017-11-04,6.37,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2017-12-31,6.98,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2018-05-19,10.68,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2018-08-19,5.44,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2018-11-04,5.68,CGWB
Andhra Pradesh,Krishna,Anasagaram,16.78944,80.27528,2018-11-11,5.66,CGWB
