district,mandal,extractable_ham,irrigation_ham,total_extraction_ham,stage_pct,category
Parvathipuram Manyam,MAKKUVA,6527.27,1733.02,1785.11,27.35,safe
Parvathipuram Manyam,VEERAGHATTAM,3559.01,829.23,1060.53,29.8,safe
Parvathipuram Manyam,BHAMINI,3795.51,581.23,803.64,21.17,safe
Parvathipuram Manyam,PARVATHIPURAM,7046.67,1529.01,1618.73,22.97,safe
Parvathipuram Manyam,GARUGUBILLI,4019.78,1489.77,1529.85,38.06,safe
Parvathipuram Manyam,JIYYAMMA VALASA,4005.24,1443.9,1489.63,37.19,safe
Parvathipuram Manyam,SALUR,5720.05,2776.6,2858.47,49.97,safe
Parvathipuram Manyam,BALIJIPETA,13050.23,1906.22,1940.01,14.87,safe
Parvathipuram Manyam,KURUPAM,5609.98,610.77,691.24,12.32,safe
Parvathipuram Manyam,KOMARADA,5692.33,3061.49,3159.3,55.5,safe
Parvathipuram Manyam,GUMMALAKSHMIPURAM,2930.21,74.65,169.74,5.79,safe
Parvathipuram Manyam,PACHIPENTA,3334.17,1725.06,1797.86,53.92,safe
Parvathipuram Manyam,SEETHANAGARAM (MANYAM),13907.41,1600.99,1645.52,11.83,safe
Parvathipuram Manyam,PALAKONDA,3815.63,533.26,741.59,19.44,safe
Parvathipuram Manyam,SEETHAMPETA,3858.47,120.48,504.11,13.07,safe
Alluri Sitharama Raju,MAREDUMILLI,3535.33,9.58,34.72,0.98,safe
Alluri Sitharama Raju,CHINTUR,10831.89,49.18,113.19,1.04,safe
Alluri Sitharama Raju,PEDABAYALU,9226.41,112.45,173.2,1.88,safe
Alluri Sitharama Raju,RAMPACHODAVARAM,6327.6,34.56,79.57,1.26,safe
Alluri Sitharama Raju,Y RAMAVARAM,6157.57,2.52,41.02,0.67,safe
Alluri Sitharama Raju,ADDATEEGALA,5447.72,26.56,74.5,1.37,safe
Alluri Sitharama Raju,DEVIPATNAM,5863.69,43.68,71.04,1.21,safe
Alluri Sitharama Raju,GANGAVARAM (EAST GODAVARI),5992.99,11.09,48.03,0.8,safe
Alluri Sitharama Raju,KUNAVARAM,2121.38,8.57,38.19,1.8,safe
Alluri Sitharama Raju,NELLIPAKA,4142.08,71.53,113.98,2.75,safe
Alluri Sitharama Raju,RAJAVOMMANGI,6237.94,16.63,63.56,1.02,safe
Alluri Sitharama Raju,VARARAMACHANDRAPU R,4374.54,12.6,60.35,1.38,safe
Alluri Sitharama Raju,ANANTHAGIRI,7235.13,13.61,91.38,1.26,safe
Alluri Sitharama Raju,ARAKU VALLEY,8249.07,13.1,80.88,0.98,safe
Alluri Sitharama Raju,CHINTAPALLE,7412.2,16.6,116.9,1.58,safe
Alluri Sitharama Raju,DUMBRIGUDA,7977.6,52.42,130.11,1.63,safe
Alluri Sitharama Raju,GANGARAJU MADUGULA,7259.19,15.12,73.64,1.01,safe
Alluri Sitharama Raju,GUDEM KOTHAVEEDHI,7033.95,3.02,135.39,1.92,safe
Alluri Sitharama Raju,HUKUMPETA,11522.74,7.06,69.14,0.6,safe
Alluri Sitharama Raju,KOYYURU,7323.71,28.22,127.1,1.74,safe
Alluri Sitharama Raju,MUNCHINGIPUTTU,7712.54,0.0,90.14,1.17,safe
Alluri Sitharama Raju,PADERU,8327.12,29.23,412.99,4.96,safe
Ananthapuramu,YADIKI,3221.62,1173.59,1313.62,40.78,safe
Ananthapuramu,ANANTAPUR RURAL,2936.98,408.89,568.34,19.35,safe
Ananthapuramu,RAYADURG,3492.0,1223.35,1331.92,38.14,safe
Ananthapuramu,VAJRAKARUR,4353.62,603.33,735.37,16.89,safe
Ananthapuramu,BRAHMASAMUDRAM,3940.39,1075.29,1157.51,29.38,safe
Ananthapuramu,SINGANAMALA,4644.96,1283.06,1483.57,31.94,safe
Ananthapuramu,D HIRCHAL,3906.04,1293.77,1476.37,37.8,safe
Ananthapuramu,GUNTAKAL,3291.85,844.4,1326.92,40.31,safe
Ananthapuramu,GOOTY,3442.99,620.43,786.9,22.86,safe
Ananthapuramu,PEDDAVADUGUR,2760.65,626.85,753.39,27.29,safe
Ananthapuramu,KUDAIR,3113.73,1566.47,1617.41,51.94,safe
Ananthapuramu,YELLANUR,3170.26,1950.82,2072.65,65.38,safe
Ananthapuramu,SETTUR,2651.24,770.68,824.3,31.09,safe
Ananthapuramu,TADPATRI,4596.74,1849.69,2574.29,56.0,safe
Ananthapuramu,GARLADINNE,3907.76,2473.57,2579.26,66.0,safe
Ananthapuramu,ANANTAPUR URBAN,526.68,108.75,141.21,26.81,safe
Ananthapuramu,URAVAKONDA,4816.94,602.81,776.63,16.12,safe
Ananthapuramu,PEDDAPAPPUR,3091.29,1517.31,1651.75,53.43,safe
Ananthapuramu,ATMAKUR,2698.45,1008.28,1051.56,38.97,safe
Ananthapuramu,BELUGUPPA,3652.03,980.57,1064.45,29.15,safe
Ananthapuramu,BOMMANAHAL,6784.37,972.4,1080.66,15.93,safe
Ananthapuramu,BUKKARAYASAMUDRAM,2977.53,1402.2,1578.3,53.01,safe
Ananthapuramu,GUMMAGATTA,2499.35,1335.21,1399.7,56.0,safe
Ananthapuramu,KALYANDURG,4932.87,1304.44,1450.71,29.41,safe
Ananthapuramu,KAMBADUR,3362.01,981.6,1110.49,33.03,safe
Ananthapuramu,KANEKAL,7317.47,746.17,876.83,11.98,safe
Ananthapuramu,KUNDURPI,2632.35,1057.54,1157.79,43.98,safe
Ananthapuramu,NARPALA,2917.75,2047.96,2138.14,73.28,semi_critical
Ananthapuramu,PAMIDI,2661.11,784.35,887.46,33.35,safe
Ananthapuramu,PUTLUR,3247.78,2058.78,2126.09,65.46,safe
Ananthapuramu,RAPTADU,3081.69,1063.71,1182.14,38.36,safe
Ananthapuramu,VIDAPANAKAL,5243.79,576.49,650.7,12.41,safe
Visakhapatnam,GOPALAPATNAM,437.23,0.0,185.96,42.53,safe
Visakhapatnam,BHEEMUNIPATNAM,2509.81,670.03,1428.62,56.92,safe
Visakhapatnam,MULAGADA,701.76,0.0,104.48,14.89,safe
Visakhapatnam,PEDDAGANTYADA,96.57,0.0,83.54,86.51,semi_critical
Visakhapatnam,VISAKHAPATNAM RURAL,254.62,34.93,208.65,81.95,semi_critical
Visakhapatnam,GAJUWAKA,556.6,0.0,359.22,64.54,safe
Visakhapatnam,ANANDAPURAM,2893.31,881.61,921.3,31.84,safe
