mandal_id,mandal_name,district,grace_gws_anom_cm,grace_gws_pctl,rootzone_pctl,surface_pctl,rain_1m_mm,rain_3m_mm,et_1m_mm,water_balance_mm,specific_yield,elevation_m,slope_deg,twi,phys_level_change_m,month_sin,month_cos,lat,lon,aquifer_type,has_sensor
SRIKAKULAM|VEERAGHATTAM,Veeraghattam,Srikakulam,9.84,99.2,99.8,99.3,10.9,26.2,86.5,940.3,0.08,91.0,2.5,9.0,1.23,1.0,0.0,18.695,83.6344,coastal,False
SRIKAKULAM|SEETHAMPETA,Seethampeta,Srikakulam,9.84,99.2,99.8,99.3,12.0,28.8,86.5,1093.5,0.08,411.0,2.5,9.0,1.23,1.0,0.0,18.7152,83.7815,coastal,False
SRIKAKULAM|BHAMINI,Bhamini,Srikakulam,9.84,99.2,99.8,99.3,8.4,20.2,86.5,1006.5,0.08,252.0,2.5,9.0,1.23,1.0,0.0,18.9121,83.7889,coastal,False
SRIKAKULAM|KOTHURU,Kothuru,Srikakulam,9.84,99.2,99.8,99.3,7.4,17.8,86.5,980.4,0.08,60.0,2.5,9.0,1.23,1.0,0.0,18.7638,83.8952,coastal,False
SRIKAKULAM|PATHAPATNAM,Pathapatnam,Srikakulam,9.84,99.2,99.8,99.3,8.8,21.1,86.5,992.4,0.08,54.0,2.5,9.0,1.23,1.0,0.0,18.7141,84.08,coastal,False
SRIKAKULAM|MELIAPUTTI,Meliaputti,Srikakulam,9.84,99.2,99.8,99.3,7.4,17.8,86.5,994.8,0.08,173.0,2.5,9.0,1.23,1.0,0.0,18.7566,84.2703,coastal,False
SRIKAKULAM|PALASA,Palasa,Srikakulam,9.84,99.2,99.8,99.3,5.2,12.5,86.5,844.2,0.08,40.0,2.5,9.0,1.23,1.0,0.0,18.8093,84.3813,coastal,False
SRIKAKULAM|MANDASA,Mandasa,Srikakulam,9.84,99.2,99.8,99.3,9.0,21.6,86.5,832.1,0.08,93.0,2.5,9.0,1.23,1.0,0.0,18.9002,84.4495,coastal,False
SRIKAKULAM|KANCHILI,Kanchili,Srikakulam,9.84,99.2,99.8,99.3,9.2,22.1,86.5,774.8,0.08,44.0,2.5,9.0,1.23,1.0,0.0,18.9905,84.5618,coastal,False
SRIKAKULAM|ICHCHAPURAM,Ichchapuram,Srikakulam,9.84,99.2,99.8,99.3,5.4,13.0,86.5,717.7,0.08,20.0,2.5,9.0,1.23,1.0,0.0,19.1169,84.6746,coastal,False
SRIKAKULAM|KAVITI,Kaviti,Srikakulam,9.84,99.2,99.8,99.3,9.4,22.6,86.5,751.3,0.08,77.0,2.5,9.0,1.23,1.0,0.0,19.0294,84.6591,coastal,False
SRIKAKULAM|SOMPETA,Sompeta,Srikakulam,9.84,99.2,99.8,99.3,5.6,13.4,86.5,730.1,0.08,25.0,2.5,9.0,1.23,1.0,0.0,18.9403,84.547,coastal,False
SRIKAKULAM|VAJRAPUKOTHURU,Vajrapukothuru,Srikakulam,9.84,99.2,99.8,99.3,5.4,13.0,86.5,744.2,0.08,8.0,2.5,9.0,1.23,1.0,0.0,18.7169,84.4383,coastal,False
SRIKAKULAM|NANDIGAM,Nandigam,Srikakulam,9.84,99.2,99.8,99.3,13.7,32.9,86.5,826.9,0.08,30.0,2.5,9.0,1.23,1.0,0.0,18.6706,84.2901,coastal,False
SRIKAKULAM|HIRAMANDALAM,Hiramandalam,Srikakulam,9.84,99.2,99.8,99.3,9.3,22.3,86.5,961.8,0.08,37.0,2.5,9.0,1.23,1.0,0.0,18.6706,83.9648,coastal,False
SRIKAKULAM|PALAKONDA,Palakonda,Srikakulam,9.84,99.2,99.8,99.3,16.6,39.8,86.5,931.2,0.08,65.0,2.5,9.0,1.23,1.0,0.0,18.6369,83.7177,coastal,False
SRIKAKULAM|VANGARA,Vangara,Srikakulam,9.84,99.2,99.8,99.3,8.0,19.2,86.5,941.0,0.08,64.0,2.5,9.0,1.23,1.0,0.0,18.6091,83.5803,coastal,False
SRIKAKULAM|REGIDI AMADALAVALASA,Regidi Amadalavalasa,Srikakulam,9.84,99.2,99.8,99.3,8.2,19.7,86.5,885.4,0.08,60.0,2.5,9.0,1.23,1.0,0.0,18.5354,83.699,coastal,False
SRIKAKULAM|LAKSHMINARSUPETA,Lakshminarsupeta,Srikakulam,9.84,99.2,99.8,99.3,6.8,16.3,86.5,874.3,0.08,36.0,2.5,9.0,1.23,1.0,0.0,18.6116,83.9313,coastal,False
SRIKAKULAM|SARAVAKOTA,Saravakota,Srikakulam,9.84,99.2,99.8,99.3,3.9,9.4,86.5,905.0,0.08,57.0,2.5,9.0,1.23,1.0,0.0,18.632,84.0535,coastal,False
SRIKAKULAM|TEKKALI,Tekkali,Srikakulam,9.84,99.2,99.8,99.3,6.1,14.6,86.5,807.2,0.08,83.0,2.5,9.0,1.23,1.0,0.0,18.6153,84.2035,coastal,False
SRIKAKULAM|SANTHABOMMALI,Santhabommali,Srikakulam,9.84,99.2,99.8,99.3,5.8,13.9,86.5,686.7,0.08,7.0,2.5,9.0,1.23,1.0,0.0,18.5626,84.2819,coastal,False
SRIKAKULAM|KOTABOMMALI,Kotabommali,Srikakulam,9.84,99.2,99.8,99.3,4.8,11.5,86.5,746.7,0.08,29.0,2.5,9.0,1.23,1.0,0.0,18.5211,84.1299,coastal,False
SRIKAKULAM|JALUMURU,Jalumuru,Srikakulam,9.84,99.2,99.8,99.3,8.0,19.2,86.5,784.3,0.08,28.0,2.5,9.0,1.23,1.0,0.0,18.5422,84.0073,coastal,False
SRIKAKULAM|SARUBUJJILI,Sarubujjili,Srikakulam,9.84,99.2,99.8,99.3,4.1,9.8,86.5,802.1,0.08,23.0,2.5,9.0,1.23,1.0,0.0,18.5202,83.9355,coastal,False
SRIKAKULAM|BURJA,Burja,Srikakulam,9.84,99.2,99.8,99.3,6.8,16.3,86.5,850.0,0.08,47.0,2.5,9.0,1.23,1.0,0.0,18.5403,83.8287,coastal,False
SRIKAKULAM|SANTHAKAVITI,Santhakaviti,Srikakulam,9.84,99.2,99.8,99.3,6.6,15.8,86.5,790.7,0.08,37.0,2.5,9.0,1.23,1.0,0.0,18.4657,83.7529,coastal,False
SRIKAKULAM|RAJAM,Rajam,Srikakulam,9.84,99.2,99.8,99.3,9.8,23.5,86.5,864.2,0.08,83.0,2.5,9.0,1.23,1.0,0.0,18.46,83.6382,coastal,False
SRIKAKULAM|GANGUVARISIGADAM,Ganguvarisigadam,Srikakulam,9.84,99.2,99.8,99.3,8.7,20.9,86.5,780.2,0.08,63.0,2.5,9.0,1.23,1.0,0.0,18.3737,83.6775,coastal,False
SRIKAKULAM|AMADALAVALASA,Amadalavalasa,Srikakulam,9.84,99.2,99.8,99.3,5.4,13.0,86.5,742.0,0.08,33.0,2.5,9.0,1.23,1.0,0.0,18.4193,83.8937,coastal,False
SRIKAKULAM|NARASANNAPETA,Narasannapeta,Srikakulam,9.84,99.2,99.8,99.3,3.4,8.2,86.5,678.4,0.08,16.0,2.5,9.0,1.23,1.0,0.0,18.4395,83.9973,coastal,False
SRIKAKULAM|POLAKI,Polaki,Srikakulam,9.84,99.2,99.8,99.3,5.6,13.4,86.5,630.5,0.08,5.0,2.5,9.0,1.23,1.0,0.0,18.4161,84.1271,coastal,False
SRIKAKULAM|GARA,Gara,Srikakulam,9.84,99.2,99.8,99.3,6.4,15.4,86.5,578.4,0.08,20.0,2.5,9.0,1.23,1.0,0.0,18.3106,84.0064,coastal,False
SRIKAKULAM|SRIKAKULAM,Srikakulam,Srikakulam,9.84,99.2,99.8,99.3,3.9,9.4,86.5,631.6,0.08,17.0,2.5,9.0,1.23,1.0,0.0,18.3311,83.9311,coastal,False
SRIKAKULAM|PONDURU,Ponduru,Srikakulam,9.84,99.2,99.8,99.3,7.1,17.0,86.5,677.8,0.08,23.0,2.5,9.0,1.23,1.0,0.0,18.3406,83.8072,coastal,False
SRIKAKULAM|LAVERU,Laveru,Srikakulam,9.84,99.2,99.8,99.3,8.3,19.9,86.5,650.7,0.08,30.0,2.5,9.0,1.23,1.0,0.0,18.2516,83.7374,coastal,False
SRIKAKULAM|RANASTALAM,Ranastalam,Srikakulam,9.84,99.2,99.8,99.3,10.9,26.2,86.5,604.4,0.08,62.0,2.5,9.0,1.23,1.0,0.0,18.1756,83.6664,coastal,False
SRIKAKULAM|ETCHERLA,Etcherla,Srikakulam,9.84,99.2,99.8,99.3,7.1,17.0,86.5,577.5,0.08,37.0,2.5,9.0,1.23,1.0,0.0,18.2407,83.8381,coastal,False
VIZIANAGARAM|KOMARADA,Komarada,Vizianagaram,10.0,100.0,99.2,99.0,17.3,41.5,87.3,958.6,0.08,474.0,2.5,9.0,1.25,1.0,0.0,18.9226,83.4067,coastal,False
VIZIANAGARAM|GUMMALAKSHMIPURAM,Gummalakshmipuram,Vizianagaram,10.0,100.0,99.2,99.0,10.5,25.2,87.3,943.7,0.08,366.0,2.5,9.0,1.25,1.0,0.0,19.0306,83.5744,coastal,False
VIZIANAGARAM|KURUPAM,Kurupam,Vizianagaram,10.0,100.0,99.2,99.0,15.3,36.7,87.3,1016.9,0.08,503.0,2.5,9.0,1.25,1.0,0.0,18.8729,83.6528,coastal,False
VIZIANAGARAM|JIYYAMMAVALASA,Jiyyammavalasa,Vizianagaram,10.0,100.0,99.2,99.0,12.1,29.0,87.3,930.4,0.08,111.0,2.5,9.0,1.25,1.0,0.0,18.8208,83.5672,coastal,False
VIZIANAGARAM|GARUGUBILLI,Garugubilli,Vizianagaram,10.0,100.0,99.2,99.0,10.8,25.9,87.3,928.7,0.08,99.0,2.5,9.0,1.25,1.0,0.0,18.7484,83.5016,coastal,False
VIZIANAGARAM|PARVATHIPURAM,Parvathipuram,Vizianagaram,10.0,100.0,99.2,99.0,10.6,25.4,87.3,940.9,0.08,144.0,2.5,9.0,1.25,1.0,0.0,18.7629,83.3705,coastal,False
VIZIANAGARAM|MAKKUVA,Makkuva,Vizianagaram,10.0,100.0,99.2,99.0,13.0,31.2,87.3,870.0,0.08,148.0,2.5,9.0,1.25,1.0,0.0,18.7167,83.2362,coastal,False
VIZIANAGARAM|SEETHANAGARAM,Seethanagaram,Vizianagaram,10.0,100.0,99.2,99.0,15.7,37.7,87.3,887.3,0.08,105.0,2.5,9.0,1.25,1.0,0.0,18.6782,83.3849,coastal,False
VIZIANAGARAM|BALIJIPETA,Balijipeta,Vizianagaram,10.0,100.0,99.2,99.0,13.0,31.2,87.3,937.0,0.08,63.0,2.5,9.0,1.25,1.0,0.0,18.6013,83.551,coastal,False
VIZIANAGARAM|BOBBILI,Bobbili,Vizianagaram,10.0,100.0,99.2,99.0,10.6,25.4,87.3,874.1,0.08,124.0,2.5,9.0,1.25,1.0,0.0,18.5998,83.3938,coastal,False
VIZIANAGARAM|SALUR,Salur,Vizianagaram,10.0,100.0,99.2,99.0,16.4,39.4,87.3,1024.0,0.08,185.0,2.5,9.0,1.25,1.0,0.0,18.6227,83.1557,coastal,False
VIZIANAGARAM|PACHIPENTA,Pachipenta,Vizianagaram,10.0,100.0,99.2,99.0,17.2,41.3,87.3,885.4,0.08,247.0,2.5,9.0,1.25,1.0,0.0,18.4464,83.1241,coastal,False
VIZIANAGARAM|RAMABHADRAPURAM,Ramabhadrapuram,Vizianagaram,10.0,100.0,99.2,99.0,16.6,39.8,87.3,796.0,0.08,157.0,2.5,9.0,1.25,1.0,0.0,18.4912,83.2631,coastal,False
VIZIANAGARAM|BADANGI,Badangi,Vizianagaram,10.0,100.0,99.2,99.0,9.9,23.8,87.3,862.6,0.08,123.0,2.5,9.0,1.25,1.0,0.0,18.4968,83.4113,coastal,False
VIZIANAGARAM|THERLAM,Therlam,Vizianagaram,10.0,100.0,99.2,99.0,14.5,34.8,87.3,939.0,0.08,87.0,2.5,9.0,1.25,1.0,0.0,18.4968,83.5138,coastal,False
VIZIANAGARAM|MERAKAMUDIDAM,Merakamudidam,Vizianagaram,10.0,100.0,99.2,99.0,12.0,28.8,87.3,905.4,0.08,124.0,2.5,9.0,1.25,1.0,0.0,18.3959,83.5026,coastal,False
VIZIANAGARAM|DATTIRAJERU,Dattirajeru,Vizianagaram,10.0,100.0,99.2,99.0,12.8,30.7,87.3,812.2,0.08,129.0,2.5,9.0,1.25,1.0,0.0,18.4204,83.4049,coastal,False
VIZIANAGARAM|MENTADA,Mentada,Vizianagaram,10.0,100.0,99.2,99.0,8.1,19.4,87.3,756.8,0.08,114.0,2.5,9.0,1.25,1.0,0.0,18.3528,83.2594,coastal,False
VIZIANAGARAM|GAJAPATHINAGARAM,Gajapathinagaram,Vizianagaram,10.0,100.0,99.2,99.0,10.2,24.5,87.3,773.2,0.08,86.0,2.5,9.0,1.25,1.0,0.0,18.3137,83.347,coastal,False
VIZIANAGARAM|GARIVIDI,Garividi,Vizianagaram,10.0,100.0,99.2,99.0,4.5,10.8,87.3,827.0,0.08,98.0,2.5,9.0,1.25,1.0,0.0,18.3111,83.5633,coastal,False
VIZIANAGARAM|CHEEPURUPALLE,Cheepurupalle,Vizianagaram,10.0,100.0,99.2,99.0,5.1,12.2,87.3,775.8,0.08,88.0,2.5,9.0,1.25,1.0,0.0,18.282,83.6116,coastal,False
VIZIANAGARAM|GURLA,Gurla,Vizianagaram,10.0,100.0,99.2,99.0,13.5,32.4,87.3,791.1,0.08,87.0,2.5,9.0,1.25,1.0,0.0,18.2531,83.5114,coastal,False
VIZIANAGARAM|BONDAPALLE,Bondapalle,Vizianagaram,10.0,100.0,99.2,99.0,10.6,25.4,87.3,713.9,0.08,76.0,2.5,9.0,1.25,1.0,0.0,18.2193,83.2825,coastal,False
VIZIANAGARAM|GANTYADA,Gantyada,Vizianagaram,10.0,100.0,99.2,99.0,6.4,15.4,87.3,670.7,0.08,64.0,2.5,9.0,1.25,1.0,0.0,18.1532,83.2395,coastal,False
VIZIANAGARAM|SRUNGAVARAPUKOTA,Srungavarapukota,Vizianagaram,10.0,100.0,99.2,99.0,24.7,59.3,87.3,685.9,0.08,86.0,2.5,9.0,1.25,1.0,0.0,18.1369,83.1536,coastal,False
VIZIANAGARAM|VEPADA,Vepada,Vizianagaram,10.0,100.0,99.2,99.0,10.5,25.2,87.3,736.5,0.08,75.0,2.5,9.0,1.25,1.0,0.0,18.0244,83.0819,coastal,False
VIZIANAGARAM|LAKKAVARAPUKOTA,Lakkavarapukota,Vizianagaram,10.0,100.0,99.2,99.0,5.3,12.7,87.3,647.9,0.08,50.0,2.5,9.0,1.25,1.0,0.0,18.0114,83.174,coastal,False
VIZIANAGARAM|KOTHAVALASA,Kothavalasa,Vizianagaram,10.0,100.0,99.2,99.0,6.5,15.6,87.3,575.1,0.08,174.0,2.5,9.0,1.25,1.0,0.0,17.9236,83.2101,coastal,False
VIZIANAGARAM|JAMI,Jami,Vizianagaram,10.0,100.0,99.2,99.0,5.9,14.2,87.3,611.1,0.08,40.0,2.5,9.0,1.25,1.0,0.0,18.0436,83.2561,coastal,False
VIZIANAGARAM|VIZIANAGARAM,Vizianagaram,Vizianagaram,10.0,100.0,99.2,99.0,6.1,14.6,87.3,667.5,0.08,77.0,2.5,9.0,1.25,1.0,0.0,18.1231,83.3708,coastal,False
