mkey,subsidence_mm_yr,coherence,n_pairs
DEVARAPALLE,1.54,0.36,6
PAMARRU,23.12,0.73,13
VELAIRPADU,31.27,0.52,6
LINGAPALEM,29.06,0.51,6
BUTTAYAGUDEM,33.85,0.46,9
KOYYALAGUDEM,56.94,0.37,6
NALLAJERLA,37.05,0.5,12
NIDAMARRU,0.66,0.45,11
VISSANNAPET,37.43,0.61,13
VIJAYAWADA,13.75,0.51,11
KRUTHIVENNU,0.47,0.41,6
KANKIPADU,14.47,0.56,9
PENAMALURU,15.6,0.51,9
PEDANA,2.92,0.36,6
MACHILIPATNAM,-18.53,0.43,6
CHALLAPALLE,-16.99,0.39,6
MACHERLA,3.63,0.89,13
BELLAMKONDA,-7.62,0.44,7
THULLUR,12.41,0.95,13
TADEPALLE,24.45,0.94,13
MANGALAGIRI,22.5,0.91,13
TADIKONDA,10.8,0.54,11
SATTENAPALLE,-23.33,0.4,7
BOLLAPALLE,-29.48,0.42,7
NARASARAOPET,3.91,0.9,13
EDLAPADU,6.78,0.69,12
GUNTUR,10.35,0.89,13
TENALI,14.91,0.85,13
CHEBROLU,-1.95,0.5,10
VATTICHERUKURU,16.22,0.42,7
KAKUMANU,10.57,0.54,12
PULLALACHERUVU,15.09,0.42,10
