district,mandal,date,sm_root,sm_top,temp
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-01,0.57,0.59,21.79
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-02,0.46,0.43,24.05
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-03,0.39,0.28,28.88
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-04,0.37,0.17,32.68
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-05,0.41,0.4,31.48
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-06,0.45,0.45,31.09
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-07,0.61,0.66,28.49
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-08,0.71,0.75,27.53
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-09,0.85,0.84,27.28
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-10,0.82,0.82,25.9
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-11,0.68,0.72,22.83
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-12,0.53,0.54,20.54
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-01,0.46,0.43,21.54
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-02,0.4,0.32,24.69
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-03,0.38,0.22,28.53
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-04,0.38,0.29,30.65
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-05,0.39,0.3,32.26
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-06,0.6,0.63,28.79
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-07,0.76,0.78,27.86
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-08,0.77,0.8,27.72
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-09,0.91,0.88,27.32
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-10,0.81,0.81,26.59
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-11,0.78,0.8,23.36
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-12,0.63,0.66,22.71
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-01,0.5,0.49,22.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-02,0.41,0.35,26.31
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-03,0.38,0.25,29.11
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-04,0.37,0.19,32.93
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-05,0.44,0.41,32.06
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-06,0.58,0.64,28.78
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-07,0.73,0.77,27.53
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-08,0.83,0.83,27.63
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-09,0.86,0.86,27.06
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-10,0.86,0.84,25.52
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-11,0.7,0.73,22.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-12,0.53,0.54,21.13
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-01,0.44,0.41,22.24
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-02,0.39,0.24,25.63
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-03,0.39,0.28,28.68
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-04,0.38,0.24,31.78
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-05,0.38,0.31,32.32
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-06,0.49,0.52,29.45
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-07,0.7,0.74,27.93
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-08,0.83,0.83,27.58
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-09,0.86,0.84,27.55
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-10,0.88,0.86,26.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-11,0.75,0.77,22.95
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-12,0.61,0.64,20.22
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-01,0.48,0.46,20.73
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-02,0.4,0.33,24.67
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-03,0.37,0.17,29.49
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-04,0.39,0.37,30.45
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-05,0.45,0.44,30.76
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-06,0.44,0.45,30.03
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-07,0.59,0.64,28.13
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-08,0.8,0.82,27.33
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-09,0.88,0.86,27.16
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-10,0.81,0.81,25.84
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-11,0.61,0.64,23.96
PARVATHIPURAM MANYAM,VEERAGHATTAM,2018-12,0.51,0.52,21.44
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-01,0.46,0.44,20.77
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-02,0.4,0.32,24.96
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-03,0.38,0.24,29.25
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-04,0.37,0.25,31.82
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-05,0.44,0.44,31.42
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-06,0.48,0.5,30.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-07,0.57,0.63,28.29
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-08,0.79,0.81,27.5
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-09,0.89,0.87,26.88
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-10,0.91,0.88,26.28
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-11,0.83,0.82,23.38
PARVATHIPURAM MANYAM,VEERAGHATTAM,2019-12,0.65,0.68,20.68
PARVATHIPURAM MANYAM,VEERAGHATTAM,2020-01,0.52,0.52,21.37
PARVATHIPURAM MANYAM,VEERAGHATTAM,2020-02,0.45,0.43,23.76
PARVATHIPURAM MANYAM,VEERAGHATTAM,2020-03,0.41,0.38,27.92
PARVATHIPURAM MANYAM,VEERAGHATTAM,2020-04,0.4,0.31,31.09
