district,mandal,date,rain_mm
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-01,4.9
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-02,1.8
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-03,7.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-04,5.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-05,105.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-06,101.4
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-07,306.8
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-08,251.1
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-09,219.5
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-10,207.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-11,7.9
PARVATHIPURAM MANYAM,VEERAGHATTAM,2014-12,25.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-01,2.7
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-02,7.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-03,14.9
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-04,43.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-05,23.7
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-06,403.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-07,142.8
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-08,295.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-09,305.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-10,106.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-11,126.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2015-12,7.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-01,0.9
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-02,7.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-03,12.5
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-04,6.7
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-05,179.3
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-06,239.6
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-07,253.6
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-08,217.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-09,294.4
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-10,101.1
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-11,30.1
PARVATHIPURAM MANYAM,VEERAGHATTAM,2016-12,1.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-01,0.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-02,0.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-03,36.5
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-04,17.4
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-05,46.0
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-06,202.1
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-07,370.2
PARVATHIPURAM MANYAM,VEERAGHATTAM,2017-08,242.3
