mkey,date,rain_mm
VEERAGHATTAM,2014-01,0.0
SEETHAMPETA,2014-01,0.0
BHAMINI,2014-01,0.0
KOTHURU,2014-01,0.0
PATHAPATNAM,2014-01,0.0
MELIAPUTTI,2014-01,0.0
MANDASA,2014-01,0.0
KANCHILI,2014-01,0.0
SOMPETA,2014-01,0.0
NANDIGAM,2014-01,0.0
HIRAMANDALAM,2014-01,0.0
PALAKONDA,2014-01,0.0
VANGARA,2014-01,0.0
REGIDI AMADALAVALASA,2014-01,0.0
LAKSHMINARSUPETA,2014-01,0.0
SARAVAKOTA,2014-01,0.0
JALUMURU,2014-01,0.0
SARUBUJJILI,2014-01,0.0
BURJA,2014-01,0.0
SANTHAKAVITI,2014-01,0.0
RAJAM,2014-01,0.0
GANGUVARISIGADAM,2014-01,0.0
AMADALAVALASA,2014-01,0.0
NARASANNAPETA,2014-01,0.0
PONDURU,2014-01,0.0
LAVERU,2014-01,0.0
RANASTALAM,2014-01,0.0
ETCHERLA,2014-01,0.0
KOMARADA,2014-01,0.0
GUMMALAKSHMIPURAM,2014-01,0.0
KURUPAM,2014-01,0.0
JIYYAMMAVALASA,2014-01,0.0
GARUGUBILLI,2014-01,0.0
PARVATHIPURAM,2014-01,0.0
MAKKUVA,2014-01,0.0
SEETHANAGARAM,2014-01,0.1
BALIJIPETA,2014-01,0.0
BOBBILI,2014-01,0.0
SALUR,2014-01,0.0
PACHIPENTA,2014-01,0.0
RAMABHADRAPURAM,2014-01,0.0
BADANGI,2014-01,0.0
THERLAM,2014-01,0.0
MERAKAMUDIDAM,2014-01,0.0
DATTIRAJERU,2014-01,0.0
MENTADA,2014-01,5.4
GAJAPATHINAGARAM,2014-01,5.4
GARIVIDI,2014-01,0.0
CHEEPURUPALLE,2014-01,0.0
GURLA,2014-01,0.0
BONDAPALLE,2014-01,5.4
GANTYADA,2014-01,5.4
SRUNGAVARAPUKOTA,2014-01,5.4
VEPADA,2014-01,4.3
LAKKAVARAPUKOTA,2014-01,2.3
KOTHAVALASA,2014-01,2.3
JAMI,2014-01,2.3
VIZIANAGARAM,2014-01,2.3
NELLIMARLA,2014-01,0.0
PUSAPATIREGA,2014-01,2.1
DENKADA,2014-01,2.1
BHOGAPURAM,2014-01,2.1
MUNCHINGI PUTTU,2014-01,0.0
PEDA BAYALU,2014-01,0.0
DUMBRIGUDA,2014-01,0.0
ARAKU VALLEY,2014-01,0.2
ANANTHAGIRI,2014-01,0.2
HUKUMPETA,2014-01,0.0
PADERU,2014-01,0.3
G MADUGULA,2014-01,0.0
CHINTAPALLE,2014-01,0.0
GUDEM KOTHA VEEDHI,2014-01,0.0
KOYYURU,2014-01,0.0
NATHAVARAM,2014-01,0.0
GOLUGONDA,2014-01,0.0
NARSIPATNAM,2014-01,0.0
ROLUGUNTA,2014-01,2.3
RAVIKAMATHAM,2014-01,2.3
MADUGULA,2014-01,0.3
CHEEDIKADA,2014-01,4.3
DEVARAPALLE,2014-01,0.2
K KOTAPADU,2014-01,4.3
SABBAVARAM,2014-01,6.1
PENDURTHI,2014-01,3.9
ANANDAPURAM,2014-01,2.3
PADMANABHAM,2014-01,2.3
BHEEMUNIPATNAM,2014-01,2.1
VISAKHAPATNAM,2014-01,3.9
GAJUWAKA,2014-01,3.9
PARAVADA,2014-01,6.1
ANAKAPALLE,2014-01,6.1
CHODAVARAM,2014-01,6.1
BUTCHAYYAPETA,2014-01,2.3
KOTAURATLA,2014-01,4.4
MAKAVARAPALEM,2014-01,2.3
KASIMKOTA,2014-01,6.1
YELAMANCHILI,2014-01,0.2
NAKKAPALLE,2014-01,4.4
PAYAKARAOPETA,2014-01,0.0
S RAYAVARAM,2014-01,4.4
NELLIPAKA,2014-01,0.4
KUNAVARAM,2014-01,0.0
CHINTUR,2014-01,0.0
VARARAMACHANDRAPURAM,2014-01,0.0
MAREDUMILLI,2014-01,0.0
DEVIPATNAM,2014-01,0.1
Y RAMAVARAM,2014-01,0.0
ADDATEEGALA,2014-01,0.0
RAJAVOMMANGI,2014-01,0.0
KOTANANDURU,2014-01,0.0
TUNI,2014-01,0.0
ROWTHULAPUDI,2014-01,0.0
SANKHAVARAM,2014-01,0.0
YELESWARAM,2014-01,0.3
GANGAVARAM,2014-01,1.9
RAMPACHODAVARAM,2014-01,0.0
GOKAVARAM,2014-01,0.3
JAGGAMPETA,2014-01,0.3
KIRLAMPUDI,2014-01,0.0
PRATHIPADU,2014-01,0.0
THONDANGI,2014-01,0.0
GOLLAPROLU,2014-01,0.0
PEDDAPURAM,2014-01,0.5
GANDEPALLE,2014-01,0.3
KORUKONDA,2014-01,0.1
RAJAHMUNDRY,2014-01,0.4
RAJANAGARAM,2014-01,0.8
RANGAMPETA,2014-01,0.8
SAMALKOTA,2014-01,0.5
PITHAPURAM,2014-01,0.0
KOTHAPALLE,2014-01,0.0
KAKINADA,2014-01,0.5
PEDAPUDI,2014-01,0.5
BICCAVOLU,2014-01,0.8
ANAPARTHY,2014-01,0.8
KADIAM,2014-01,0.4
ATREYAPURAM,2014-01,0.4
MANDAPETA,2014-01,0.8
RAYAVARAM,2014-01,0.4
KARAPA,2014-01,0.5
KAJULURU,2014-01,0.4
RAMACHANDRAPURAM,2014-01,0.8
ALAMURU,2014-01,0.3
RAVULAPALEM,2014-01,0.3
KOTHAPETA,2014-01,0.4
KAPILESWARAPURAM,2014-01,0.4
PAMARRU,2014-01,0.0
THALLAREVU,2014-01,0.4
I POLAVARAM,2014-01,0.4
MUMMIDIVARAM,2014-01,0.4
AINAVILLI,2014-01,0.4
P GANNAVARAM,2014-01,0.3
AMBAJIPETA,2014-01,0.3
MAMIDIKUDURU,2014-01,0.3
RAZOLE,2014-01,0.3
MALIKIPURAM,2014-01,0.2
SAKHINETIPALLE,2014-01,0.2
ALLAVARAM,2014-01,0.3
AMALAPURAM,2014-01,0.3
UPPALAGUPTAM,2014-01,0.3
VELAIRPADU,2014-01,1.7
KUKUNOOR,2014-01,7.4
CHINTALAPUDI,2014-01,14.7
LINGAPALEM,2014-01,14.7
T NARASAPURAM,2014-01,14.7
JEELUGU MILLI,2014-01,6.5
BUTTAYAGUDEM,2014-01,0.1
POLAVARAM,2014-01,0.1
TALLAPUDI,2014-01,0.4
GOPALAPURAM,2014-01,0.1
KOYYALAGUDEM,2014-01,0.2
JANGAREDDIGUDEM,2014-01,6.5
KAMAVARAPUKOTA,2014-01,0.6
DWARAKATIRUMALA,2014-01,0.6
NALLAJERLA,2014-01,0.2
KOVVUR,2014-01,0.4
CHAGALLU,2014-01,0.4
NIDADAVOLE,2014-01,0.4
TADEPALLIGUDEM,2014-01,0.2
UNGUTURU,2014-01,0.0
BHIMADOLE,2014-01,0.0
PEDAVEGI,2014-01,0.0
PEDAPADU,2014-01,0.0
ELURU,2014-01,0.0
DENDULURU,2014-01,0.0
NIDAMARRU,2014-01,0.2
PENTAPADU,2014-01,0.2
UNDRAJAVARAM,2014-01,0.3
PERAVALI,2014-01,0.3
TANUKU,2014-01,0.3
ATTILI,2014-01,0.2
GANAPAVARAM,2014-01,0.2
AKIVIDU,2014-01,0.0
UNDI,2014-01,0.0
PALACODERU,2014-01,0.0
PENUMANTRA,2014-01,0.3
IRAGAVARAM,2014-01,0.3
PENUGONDA,2014-01,0.3
ACHANTA,2014-01,0.2
PODURU,2014-01,0.2
VEERAVASARAM,2014-01,0.0
BHIMAVARAM,2014-01,0.0
KALLA,2014-01,0.0
MOGALTHUR,2014-01,0.0
NARASAPURAM,2014-01,0.2
PALACOLE,2014-01,0.2
VATSAVAI,2014-01,0.0
JAGGAYYAPETA,2014-01,0.0
PENUGANCHIPROLU,2014-01,0.0
NANDIGAMA,2014-01,0.0
VEERULLAPADU,2014-01,0.0
MYLAVARAM,2014-01,0.0
GAMPALAGUDEM,2014-01,0.0
TIRUVURU,2014-01,0.0
A KONDURU,2014-01,5.4
REDDIGUDEM,2014-01,5.4
VISSANNAPET,2014-01,5.4
CHATRAI,2014-01,5.4
MUSUNURU,2014-01,0.0
NUZVID,2014-01,0.0
BAPULAPADU,2014-01,0.0
AGIRIPALLE,2014-01,0.0
G KONDURU,2014-01,0.0
KANCHIKACHERLA,2014-01,0.0
CHANDARLAPADU,2014-01,0.0
IBRAHIMPATNAM,2014-01,0.0
VIJAYAWADA,2014-01,0.0
GANNAVARAM,2014-01,0.0
NANDIVADA,2014-01,0.0
MANDAVALLI,2014-01,0.0
KAIKALUR,2014-01,0.0
KALIDINDI,2014-01,0.0
BANTUMILLI,2014-01,0.0
MUDINEPALLE,2014-01,0.0
GUDIVADA,2014-01,0.0
PEDAPARUPUDI,2014-01,0.0
KANKIPADU,2014-01,0.0
PENAMALURU,2014-01,0.0
THOTLAVALLURU,2014-01,0.0
PAMIDIMUKKALA,2014-01,0.0
VUYYURU,2014-01,0.0
GUDLAVALLERU,2014-01,0.0
GUDURU,2014-01,0.0
MOVVA,2014-01,0.0
GHANTASALA,2014-01,0.0
CHALLAPALLE,2014-01,0.0
MOPIDEVI,2014-01,0.0
AVANIGADDA,2014-01,0.0
KODURU,2014-01,0.0
MACHERLA,2014-01,0.0
VELDURTHI,2014-01,0.0
DURGI,2014-01,0.0
RENTACHINTALA,2014-01,0.0
GURAZALA,2014-01,0.0
