mandal_id,elevation_m,slope_deg,twi
SRIKAKULAM|VEERAGHATTAM,91.0,2.5,9.0
SRIKAKULAM|SEETHAMPETA,411.0,2.5,9.0
SRIKAKULAM|BHAMINI,252.0,2.5,9.0
SRIKAKULAM|KOTHURU,60.0,2.5,9.0
SRIKAKULAM|PATHAPATNAM,54.0,2.5,9.0
SRIKAKULAM|MELIAPUTTI,173.0,2.5,9.0
SRIKAKULAM|PALASA,40.0,2.5,9.0
SRIKAKULAM|MANDASA,93.0,2.5,9.0
SRIKAKULAM|KANCHILI,44.0,2.5,9.0
SRIKAKULAM|ICHCHAPURAM,20.0,2.5,9.0
SRIKAKULAM|KAVITI,77.0,2.5,9.0
SRIKAKULAM|SOMPETA,25.0,2.5,9.0
SRIKAKULAM|VAJRAPUKOTHURU,8.0,2.5,9.0
SRIKAKULAM|NANDIGAM,30.0,2.5,9.0
SRIKAKULAM|HIRAMANDALAM,37.0,2.5,9.0
SRIKAKULAM|PALAKONDA,65.0,2.5,9.0
SRIKAKULAM|VANGARA,64.0,2.5,9.0
SRIKAKULAM|REGIDI AMADALAVALASA,60.0,2.5,9.0
SRIKAKULAM|LAKSHMINARSUPETA,36.0,2.5,9.0
SRIKAKULAM|SARAVAKOTA,57.0,2.5,9.0
SRIKAKULAM|TEKKALI,83.0,2.5,9.0
SRIKAKULAM|SANTHABOMMALI,7.0,2.5,9.0
SRIKAKULAM|KOTABOMMALI,29.0,2.5,9.0
SRIKAKULAM|JALUMURU,28.0,2.5,9.0
SRIKAKULAM|SARUBUJJILI,23.0,2.5,9.0
SRIKAKULAM|BURJA,47.0,2.5,9.0
SRIKAKULAM|SANTHAKAVITI,37.0,2.5,9.0
SRIKAKULAM|RAJAM,83.0,2.5,9.0
SRIKAKULAM|GANGUVARISIGADAM,63.0,2.5,9.0
SRIKAKULAM|AMADALAVALASA,33.0,2.5,9.0
SRIKAKULAM|NARASANNAPETA,16.0,2.5,9.0
SRIKAKULAM|POLAKI,5.0,2.5,9.0
SRIKAKULAM|GARA,20.0,2.5,9.0
SRIKAKULAM|SRIKAKULAM,17.0,2.5,9.0
SRIKAKULAM|PONDURU,23.0,2.5,9.0
SRIKAKULAM|LAVERU,30.0,2.5,9.0
SRIKAKULAM|RANASTALAM,62.0,2.5,9.0
SRIKAKULAM|ETCHERLA,37.0,2.5,9.0
VIZIANAGARAM|KOMARADA,474.0,2.5,9.0
VIZIANAGARAM|GUMMALAKSHMIPURAM,366.0,2.5,9.0
VIZIANAGARAM|KURUPAM,503.0,2.5,9.0
VIZIANAGARAM|JIYYAMMAVALASA,111.0,2.5,9.0
VIZIANAGARAM|GARUGUBILLI,99.0,2.5,9.0
VIZIANAGARAM|PARVATHIPURAM,144.0,2.5,9.0
